Time,Rank,Name,Price,1h,24h,7d,Market Cap
09-12-2025 12:42,,,"CoinMarketCap 20 Index DTF
CMC20
Buy",$190.32,0.21%,1.57%,3.92%
09-12-2025 12:42,,1,"Bitcoin
BTC
Buy","$90,205.97",0.16%,1.32%,3.71%
09-12-2025 12:42,,2,"Ethereum
ETH
Buy","$3,116.85",0.08%,0.33%,10.91%
09-12-2025 12:42,,3,"Tether
USDT
Buy",$0.9998,0.02%,0.02%,0.02%
09-12-2025 12:42,,4,"XRP
XRP
Buy",$2.04,0.14%,1.52%,1.29%
09-12-2025 12:42,,5,"BNB
BNB
Buy",$887.66,0.22%,1.68%,6.71%
09-12-2025 12:42,,6,"USDC
USDC
Buy",$1.00,0.00%,0.01%,0.01%
09-12-2025 12:42,,7,"Solana
SOL
Buy",$132.50,0.11%,2.44%,4.01%
09-12-2025 12:42,,8,"TRON
TRX
Buy",$0.2809,0.03%,2.09%,1.31%
09-12-2025 12:42,,9,"Dogecoin
DOGE
Buy",$0.1399,0.15%,1.28%,2.92%
09-12-2025 12:45,,,"CoinMarketCap 20 Index DTF
CMC20
Buy",$190.32,0.21%,1.57%,3.92%
09-12-2025 12:45,,1,"Bitcoin
BTC
Buy","$90,177.12",0.12%,1.34%,3.73%
09-12-2025 12:45,,2,"Ethereum
ETH
Buy","$3,116.09",0.06%,0.35%,10.94%
09-12-2025 12:45,,3,"Tether
USDT
Buy",$1.00,0.01%,0.02%,0.04%
09-12-2025 12:45,,4,"XRP
XRP
Buy",$2.04,0.25%,1.58%,1.36%
09-12-2025 12:45,,5,"BNB
BNB
Buy",$887.86,0.25%,1.66%,6.85%
09-12-2025 12:45,,6,"USDC
USDC
Buy",$0.9999,0.00%,0.01%,0.03%
09-12-2025 12:45,,7,"Solana
SOL
Buy",$132.64,0.30%,2.38%,3.85%
09-12-2025 12:45,,8,"TRON
TRX
Buy",$0.2809,0.07%,2.12%,1.30%
09-12-2025 12:45,,9,"Dogecoin
DOGE
Buy",$0.1400,0.19%,1.21%,2.96%
11-12-2025 00:48,,,"CoinMarketCap 20 Index DTF
CMC20
Buy",$197.63,0.30%,1.54%,0.24%
11-12-2025 00:48,,1,"Bitcoin
BTC
Buy","$92,946.63",0.53%,1.09%,0.22%
11-12-2025 00:48,,2,"Ethereum
ETH
Buy","$3,393.18",0.74%,0.64%,8.77%
11-12-2025 00:48,,3,"Tether
USDT
Buy",$1.00,0.00%,0.01%,0.00%
11-12-2025 00:48,,4,"XRP
XRP
Buy",$2.07,0.52%,3.16%,4.83%
11-12-2025 00:48,,5,"BNB
BNB
Buy",$902.09,0.62%,1.41%,0.15%
11-12-2025 00:48,,6,"USDC
USDC
Buy",$1.00,0.00%,0.03%,0.03%
11-12-2025 00:48,,7,"Solana
SOL
Buy",$138.25,1.12%,2.64%,2.25%
11-12-2025 00:48,,8,"TRON
TRX
Buy",$0.2783,0.39%,1.26%,0.22%
11-12-2025 00:48,,9,"Dogecoin
DOGE
Buy",$0.1477,1.24%,2.17%,2.04%
15-12-2025 14:22,,,"CoinMarketCap 20 Index DTF
CMC20
Buy",$190.46,0.21%,0.21%,1.70%
15-12-2025 14:22,,1,"Bitcoin
BTC
Buy","$89,828.43",0.21%,0.38%,2.18%
15-12-2025 14:22,,2,"Ethereum
ETH
Buy","$3,141.50",0.52%,0.82%,0.22%
15-12-2025 14:22,,3,"Tether
USDT
Buy",$1.00,0.01%,0.01%,0.01%
15-12-2025 14:22,,4,"BNB
BNB
Buy",$889.44,0.10%,0.86%,1.86%
15-12-2025 14:22,,5,"XRP
XRP
Buy",$1.99,0.16%,0.96%,4.45%
15-12-2025 14:22,,6,"USDC
USDC
Buy",$0.9998,0.00%,0.01%,0.02%
15-12-2025 14:22,,7,"Solana
SOL
Buy",$132.57,0.30%,0.61%,2.48%
15-12-2025 14:22,,8,"TRON
TRX
Buy",$0.2803,0.39%,2.03%,2.42%
15-12-2025 14:22,,9,"Dogecoin
DOGE
Buy",$0.1365,0.30%,1.13%,4.19%
2025-12-15 14:56:48,,,"CoinMarketCap 20 Index DTF
CMC20
Buy",$190.82,0.26%,0.09%,2.22%
2025-12-15 14:56:48,,1,"Bitcoin
BTC
Buy","$89,934.12",0.12%,0.20%,2.20%
2025-12-15 14:56:48,,2,"Ethereum
ETH
Buy","$3,148.64",0.33%,1.19%,0.27%
2025-12-15 14:56:48,,3,"Tether
USDT
Buy",$1.00,0.00%,0.02%,0.00%
2025-12-15 14:56:48,,4,"BNB
BNB
Buy",$890.58,0.16%,0.72%,2.02%
2025-12-15 14:56:48,,5,"XRP
XRP
Buy",$1.99,0.24%,0.77%,5.27%
2025-12-15 14:56:48,,6,"USDC
USDC
Buy",$0.9999,0.01%,0.00%,0.01%
2025-12-15 14:56:48,,7,"Solana
SOL
Buy",$132.33,0.03%,0.19%,4.24%
2025-12-15 14:56:48,,8,"TRON
TRX
Buy",$0.2812,0.19%,2.34%,1.88%
2025-12-15 14:56:48,,9,"Dogecoin
DOGE
Buy",$0.1367,0.17%,0.70%,4.99%
